id,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area
Amigdalin,1,457.43200000000013,7,3,7,202.32
Fenfuram,1,201.225,1,2,2,42.24
citral,1,152.237,0,0,4,17.07
Picene,2,278.35400000000004,0,5,0,0.0
Thiophene,2,84.14299999999999,0,1,0,0.0
benzothiazole,2,135.191,0,2,0,12.89
"2,2,4,6,6'-PCB",1,326.437,0,2,1,0.0
Estradiol,1,272.388,2,4,0,40.46
Dieldrin,1,380.913,0,5,0,12.53
Rotenone,1,394.4230000000002,0,5,3,63.22
2-pyrrolidone,1,85.10600000000002,1,1,0,29.1
2-Chloronapthalene,1,162.61899999999997,0,2,0,0.0
1-Pentene ,1,70.135,0,0,2,0.0
Primidone,1,218.25599999999997,2,2,2,58.2
Tetradecane,1,198.39399999999995,0,0,11,0.0
2-Chloropropane,1,78.542,0,0,0,0.0
2-Methylbutanol,1,88.14999999999998,1,0,2,20.23
Benzonitrile,1,103.12399999999997,0,1,0,23.79
Diazinon,1,304.3520000000001,0,1,7,53.47
2-Undecanol,1,172.312,1,0,8,20.23
"2,2',3,4,6-PCB",1,326.437,0,2,1,0.0
Lenacil,1,234.29899999999995,1,3,1,54.86
Phorate,1,260.386,0,0,8,18.46
Phenacetin,1,179.21900000000002,1,1,3,38.33
Dinitramine,1,322.243,1,1,5,115.54000000000002
1-Heptanol,1,116.204,1,0,5,20.23
Theophylline,1,180.167,1,2,0,72.68
Butethal,1,212.24900000000002,2,1,4,75.27000000000002
"P,P'-DDE",1,318.0300000000001,0,2,2,0.0
Methyl octanoate,1,158.241,0,0,6,26.3
"1,4-Diethylbenzene ",1,134.22199999999998,0,1,2,0.0
Terbufos,1,288.44,0,0,7,18.46
Phenmedipham,1,300.314,2,2,3,76.66
"1,1-Dichloroethylene",1,96.944,0,0,0,0.0
1-Methylfluorene,1,180.25000000000003,0,3,0,0.0
Valeraldehyde,1,86.13399999999999,0,0,3,17.07
Diphenylamine,2,169.227,1,2,2,12.03
Fenothiocarb,1,253.36700000000002,0,1,6,29.540000000000006
Piperophos,1,353.4900000000002,0,1,9,38.77
1-Iodoheptane,1,226.101,0,0,5,0.0
3-Chlorobiphenyl,1,188.657,0,2,1,0.0
4-Pentene-1-ol,1,86.134,1,0,3,20.23
Cyclobutyl-5-spirobarbituric acid,1,168.15200000000004,2,2,0,75.27
menthol,1,156.269,1,1,1,20.23
Isopropyl formate,1,88.10600000000001,0,0,2,26.3
2-Heptanol ,1,116.20399999999998,1,0,4,20.23
p-Bromoacetanilide,1,214.062,1,1,1,29.1
brompyrazone,1,266.098,1,2,1,60.91
nifedipine,1,346.33900000000017,1,2,4,107.77
"2,7-dimethylquinoline",1,157.216,0,2,0,12.89
1-Octyne ,1,110.2,0,0,4,0.0
cyclobarbital,1,236.27099999999996,2,2,2,75.27000000000002
Chrysene,2,228.294,0,4,0,0.0
Bromacil,1,261.119,1,1,2,54.86
"2,2',3,3',5,6-PCB",1,360.88200000000006,0,2,1,0.0
2-Methylphenol,1,108.14,1,1,0,20.23
"2,2,5-Trimethylhexane",1,128.259,0,0,2,0.0
"1,4-Dimethylnaphthalene ",1,156.22799999999998,0,2,0,0.0
6-Methylchrysene,1,242.321,0,4,0,0.0
2-Pentanone,1,86.13399999999999,0,0,2,17.07
"2,2',3,3',5,5',6,6'-PCB",1,429.77200000000016,0,2,1,0.0
Methyl butyrate,1,116.15999999999998,0,0,3,26.3
Triamcinolone,1,394.43900000000014,4,4,2,115.06000000000002
p-Aminophenol,1,109.128,2,1,0,46.25
Benznidazole,1,260.253,1,2,5,90.06
"Atovaquone(0,430mg/ml) - neutral",1,366.84400000000016,1,4,2,54.37
Trietazine,1,229.715,1,1,5,53.94000000000001
Pyrazinamide,1,123.11499999999998,1,1,1,68.87
Carbromal,1,237.097,2,0,3,72.19
"2,2'-PCB",1,223.102,0,2,1,0.0
nitrofurantoin,1,238.159,1,2,3,118.04999999999998
Nitrofen,1,284.098,0,2,3,52.37
Camphor,1,152.237,0,2,0,17.07
5-Allyl-5-phenylbarbital,1,244.25,2,2,3,75.27000000000002
Pentyl propanoate,1,130.18699999999998,0,0,4,26.3
Isopentyl acetate,1,130.18699999999998,0,0,3,26.3
3-Hexanoyloxymethylphenyltoin,1,380.444,1,3,8,75.71
"2,3',5-PCB",1,257.547,0,2,1,0.0
1-Bromopropane,1,122.993,0,0,1,0.0
Propiconazole,1,342.2260000000001,0,3,5,49.17
Formothion,1,257.273,0,0,6,55.84
4-methylpteridine,1,146.15299999999996,0,2,0,51.56
Thiourea,1,76.12400000000002,2,0,0,52.04
p-Xylene ,1,106.168,0,1,0,0.0
"1,2-Diethylbenzene",1,134.22199999999998,0,1,2,0.0
Hexachloroethane,1,236.74,0,0,0,0.0
Flucythrinate,1,451.46900000000005,0,3,9,68.55000000000001
1-Nitropropane,1,89.09399999999998,0,0,2,43.14
Menthone,1,154.253,0,1,1,17.07
RTI 24,1,273.723,1,3,1,45.23
"2,3-Dichloronitrobenzene",1,192.00100000000003,0,1,1,43.14
thiamylal,1,254.355,2,1,5,58.2
Fluoranthene,2,202.256,0,4,0,0.0
Propylisopropylether,1,102.17699999999998,0,0,3,9.23
"1,3-Dimethylnaphthalene",1,156.22799999999995,0,2,0,0.0
diethylstilbestrol,1,268.356,2,2,4,40.46
Chlorothalonil,1,265.914,0,1,0,47.58
"2,3',4',5-PCB",1,291.992,0,2,1,0.0
styrene oxide,2,120.15099999999997,0,2,1,12.53
Isopropylbenzene ,1,120.19499999999996,0,1,1,0.0
Deoxycorticosterone,1,330.46800000000013,1,4,2,54.37000000000001
chlorquinox,1,267.93,0,2,0,25.78
L-arabinose,1,150.13,4,1,0,90.15
Dichloromethane,1,84.93299999999998,0,0,0,0.0
1-Ethylnaphthalene ,1,156.22799999999995,0,2,1,0.0
Methyl formate,1,60.05200000000001,0,0,1,26.3
o-Nitrophenol,1,139.11,1,1,1,63.37
thymine,1,126.115,2,1,0,65.72
2-Methylpropane,1,58.124,0,0,0,0.0
Inosine,1,268.22900000000004,4,3,2,133.75
Ioxynil,1,370.915,1,1,0,44.02
Niclosamide,1,327.1230000000001,2,2,3,92.47
Pentane,1,72.15100000000001,0,0,2,0.0
Phenol,1,94.113,1,1,0,20.23
2-aminoanthracene,1,193.24900000000002,1,3,0,26.02
theobromine,1,180.167,1,2,0,72.68
Isoquinoline,2,129.16199999999998,0,2,0,12.89
Anilofos,1,367.86,0,1,7,38.77
Hexylbenzene ,1,162.276,0,1,5,0.0
2-Chlorobiphenyl,1,188.657,0,2,1,0.0
2-Methyl-1-Pentene,1,84.16199999999998,0,0,2,0.0
"2,3,4-Trimethylpentane",1,114.232,0,0,2,0.0
Pentachlorobenzene,1,250.33900000000003,0,1,0,0.0
m-Nitrophenol,1,139.11,1,1,1,63.37
1-Decene,1,140.26999999999998,0,0,7,0.0
Glyceryl triacetate,1,218.205,0,0,5,78.9
dimethirimol,1,209.293,1,1,4,49.25000000000001
Cyfluthrin,1,434.29400000000015,0,3,6,59.32000000000001
Pyridine,2,79.10199999999998,0,1,0,12.89
1-Bromoheptane,1,179.101,0,0,5,0.0
"3,4-Dimethylpyridine",1,107.156,0,1,0,12.89
Fludrocortisone,1,380.4560000000001,3,4,2,94.83
ethiofencarb,1,225.313,1,1,4,38.33
Malonic acid diethylester,1,160.16899999999995,0,0,4,52.60000000000001
d-Limonene,1,136.238,0,1,1,0.0
Indan,2,118.17899999999996,0,2,0,0.0
p-t-Butylphenol,1,150.22099999999998,1,1,0,20.23
Cyclopropyl-5-spirobarbituric acid,1,154.125,2,2,0,75.27
m-Chloroiodobenzene,1,238.455,0,1,0,0.0
1-Bromonapthalene,1,207.07,0,2,0,0.0
trans-2-Pentene ,1,70.135,0,0,1,0.0
"2,6-Dimethylpyridine",1,107.156,0,1,0,12.89
Trichloroethylene,1,131.389,0,0,0,0.0
1-Napthylamine,1,143.189,1,2,0,26.02
m-Xylene ,1,106.168,0,1,0,0.0
2-hydroxypteridine,1,148.125,1,2,0,71.79
Methanol,1,32.042,1,0,0,20.23
Amobarbital,1,226.276,2,1,4,75.27000000000002
2-Butanone,1,72.107,0,0,1,17.07
5-fluorouracil,1,130.078,2,1,0,65.72
tubercidin,1,266.257,4,3,2,126.65
"1,3-Benzenediol",1,110.11199999999998,2,1,0,40.46
1-Hexanol,1,102.177,1,0,4,20.23
1-Chloropentane,1,106.596,0,0,3,0.0
"1,3-Butadiene",1,54.09199999999999,0,0,1,0.0
Propyl acetate,1,102.13299999999998,0,0,2,26.3
"5,6,7,8-tetrahydro-2-naphthol",1,148.205,1,2,0,20.23
chloroacetamide,1,93.51299999999999,1,0,1,43.09
Iodofenphos,1,413.0,0,1,4,27.69
4-Chlorotoluene,1,126.586,0,1,0,0.0
Metribuzin,1,214.294,1,1,1,73.8
Tricresyl phosphate,1,368.36900000000014,0,3,6,44.76000000000001
Caproaldehyde,1,100.161,0,0,4,17.07
Butamben,1,193.246,1,1,4,52.32
RTI 3,1,255.27700000000002,1,3,0,68.45
Nerol,1,154.253,1,0,4,20.23
"2,4'-PCB",1,223.102,0,2,1,0.0
3-Octanoyloxymethylphenytoin,1,408.49800000000005,1,3,10,75.71
Nitroethane,1,75.067,0,0,1,43.14
Ethalfluralin,1,333.26599999999996,0,1,6,89.51999999999998
"1,2,3,4-Tetrachlorobenzene",1,215.894,0,1,0,0.0
Meprobamate,1,218.253,2,0,6,104.64
pregnenolone,1,316.48500000000007,1,4,1,37.3
Iodomethane,1,141.939,0,0,0,0.0
cycloheximide,1,281.35200000000003,2,2,3,83.47
3-Heptanoyloxymethylphenytoin,1,394.471,1,3,9,75.71
isophorone,1,138.20999999999998,0,1,0,17.07
Butabarbital,1,212.249,2,1,3,75.27000000000002
5-Nonanone,1,142.24200000000002,0,0,6,17.07
Glutethimide,1,217.268,1,2,2,46.17
3-Methylpentane,1,86.178,0,0,2,0.0
Etofenprox,1,376.496,0,3,9,27.69
Methaqualone,1,250.301,0,3,1,34.89
Chloroacetonitrile,1,75.498,0,0,0,23.79
Trichloronate,1,333.6040000000001,0,1,5,18.46
Ethisterone,1,312.4530000000001,1,4,0,37.3
Pyridazine,2,80.08999999999997,0,1,0,25.78
"1,2,3,5-Tetrachlorobenzene",1,215.894,0,1,0,0.0
Diosgenin,1,414.63000000000017,1,6,0,38.69
o-Aminophenol,1,109.128,2,1,0,46.25
Ethyl nonanoate,1,186.295,0,0,8,26.3
metalaxyl,1,279.336,0,1,5,55.84
Propoxur,1,209.245,1,1,3,47.56
2-Chlorobutane,1,92.569,0,0,1,0.0
2-Napthol,1,144.17299999999997,1,2,0,20.23
Oxadiazon,1,345.22600000000017,0,2,3,57.26
1-Hexyne ,1,82.14599999999999,0,0,2,0.0
1-Nonyne ,1,124.227,0,0,5,0.0
2-Chlorotoluene,1,126.586,0,1,0,0.0
Diisopropyl ether ,1,102.177,0,0,2,9.23
Dapsone,1,248.30700000000002,2,2,2,86.18
Methyl hydrazine,1,46.073,2,0,0,38.05
Propyne,1,40.06500000000001,0,0,0,0.0
Phoxim,1,298.30400000000003,0,1,7,63.84
Propetamphos,1,281.314,1,0,7,56.790000000000006
Acrolein,1,56.06399999999999,0,0,1,17.07
Hypoxanthine,1,136.114,2,2,0,74.43
6-hydroxyquinoline,1,145.161,1,2,0,33.120000000000005
Fluorobenzene,1,96.10399999999998,0,1,0,0.0
1-Chloropropane,1,78.542,0,0,1,0.0
Ethyl acetate,1,88.10600000000001,0,0,1,26.3
"2,2-Dimethylpentane",1,100.20499999999998,0,0,1,0.0
Pentamethylbenzene,1,148.249,0,1,0,0.0
eucalyptol,1,154.253,0,3,0,9.23
dibutyl sebacate,1,314.46600000000007,0,0,15,52.60000000000001
"4,4'-PCB",1,223.102,0,2,1,0.0
"2,3-Dimethylpyridine",1,107.156,0,1,0,12.89
Carvone,1,150.22099999999998,0,1,1,17.07
Carbophenthion,1,342.875,0,1,8,18.46
"Etoposide (148-167,25mg/ml)",1,588.5620000000001,3,7,5,160.83
Perylene,2,252.316,0,5,0,0.0
"2,4-Dinitrotoluene",1,182.135,0,1,2,86.28
2-bromonaphthalene,1,207.07,0,2,0,0.0
Formetanate,1,221.26,1,1,3,53.93
6-methoxypteridine,1,162.15200000000004,0,2,1,60.790000000000006
nevirapine,1,266.30400000000003,1,4,1,58.12000000000001
Isazofos,1,313.747,0,1,7,58.4
"2-Methyl-1,3-Butadiene ",1,68.11900000000001,0,0,1,0.0
linalool,1,154.253,1,0,4,20.23
Fenthion,1,278.335,0,1,5,27.69
Cyclohexanol ,1,100.161,1,1,0,20.23
5-Allyl-5-methylbarbital,1,182.179,2,1,2,75.27000000000002
Epiandrosterone,1,290.447,1,4,0,37.3
mannitol,1,182.172,6,0,5,121.38
4-Methylbiphenyl,1,168.239,0,2,1,0.0
Atrazine,1,215.688,2,1,4,62.73
Phenylthiourea,1,152.22199999999995,2,1,1,38.05
4-Heptanone,1,114.188,0,0,4,17.07
"3,3-Dimethyl-2-butanone",1,100.161,0,0,0,17.07
4-Chlorophenol ,1,128.558,1,1,0,20.23
Cyclohexanone,1,98.145,0,1,0,17.07
m-Methylaniline,1,107.156,1,1,0,26.02
Trichloroacetonitrile,1,144.388,0,0,0,23.79
norflurazon,1,303.67100000000005,1,2,2,46.92
2-Decanone,1,156.269,0,0,7,17.07
Ipazine,1,243.742,1,1,5,53.94000000000001
Benzocaine,1,165.19199999999995,1,1,2,52.32
"1,2,4-Trichlorobenzene",1,181.449,0,1,0,0.0
Triazolam,1,343.2170000000001,0,4,1,43.07
"1,2-Benzenediol",1,110.11199999999998,2,1,0,40.46
Reverse Transcriptase inhibitor 1,1,254.293,0,3,1,49.33000000000001
Dimethyl sulfide,1,62.137,0,0,0,0.0
2-Bromotoluene,1,171.03699999999995,0,1,0,0.0
O-Ethyl carbamate,1,89.09400000000002,1,0,1,52.32
megestrol acetate,1,384.51600000000013,0,4,2,60.44000000000001
"2,4-Dimethyl-3-pentanol",1,116.20399999999998,1,0,2,20.23
Napthalene,2,128.17399999999995,0,2,0,0.0
N-Ethylaniline,1,121.18299999999996,1,1,2,12.03
Phenytoin,1,252.273,2,3,2,58.2
"7,12-Dimethylbenz(a)anthracene",1,256.348,0,4,0,0.0
Dialifor,1,393.85400000000016,0,2,8,55.84
Methoxychlor,1,345.65299999999985,0,2,4,18.46
TEFLUBENZURON,1,381.11200000000014,2,2,2,58.2
3-Pentanoyloxymethylphenytoin,1,366.417,1,3,7,75.71
Monuron,1,198.653,1,1,1,32.34
Flutriafol,1,301.296,1,3,4,50.94
triamcinolone diacetate,1,478.5130000000002,2,4,4,127.20000000000002
1-Bromobutane,1,137.01999999999998,0,0,2,0.0
"1,2,4,5-Tetrabromobenzene",1,393.698,0,1,0,0.0
4-Methyl-2-pentanone,1,100.161,0,0,2,17.07
cycloate,1,215.36199999999997,0,1,3,20.31
4-Chloroanisole,1,142.585,0,1,1,9.23
Deltamethrin,1,505.20600000000013,0,3,6,59.32000000000001
Talbutal,1,224.26,2,1,4,75.27000000000002
Fenitrothion,1,277.238,0,1,5,70.83000000000001
1-Iodonapthalene,1,254.07,0,2,0,0.0
Sorbitol,1,182.172,6,0,5,121.38
Ethanethiol,1,62.137,1,0,0,0.0
"1,1,2-Trichloroethane",1,133.405,0,0,1,0.0
Pyrolan,1,245.282,0,2,2,47.36000000000001
o-Hydroxybenzamide,1,137.13799999999998,2,1,1,63.32000000000001
o-Nitrotoluene,1,137.138,0,1,1,43.14
"5,5-Diisopropylbarbital",1,212.24900000000002,2,1,2,75.27000000000002
2-Ethyltoluene,1,120.19499999999996,0,1,1,0.0
1-Chloroheptane,1,134.65,0,0,5,0.0
Barbital,1,184.195,2,1,2,75.27000000000002
Bibenzyl ,2,182.266,0,2,3,0.0
"1,1,2,2-Tetrachloroethane",1,167.85,0,0,1,0.0
RTI 23,1,283.33099999999996,1,3,2,54.46
2-Methylphenanthrene,1,192.261,0,3,0,0.0
dibutylphthalate,1,278.348,0,1,8,52.60000000000001
tetrachloroguaiacol,1,261.91900000000004,1,1,1,29.46
Dimecron,1,299.69099999999986,0,0,8,65.07000000000001
Equilin,1,268.356,1,4,0,37.3
Chlorimuron-ethyl (ph 7),1,414.82700000000017,1,2,8,127.79
p-Nitroanisole,1,153.13699999999997,0,1,2,52.37
1-Chlorohexane,1,120.62299999999999,0,0,4,0.0
"2,2',3,3',4,4',5,5'-PCB",1,429.77200000000016,0,2,1,0.0
Raffinose,1,504.4380000000001,11,3,8,268.67999999999995
hexacosane,1,366.71800000000013,0,0,23,0.0
RTI 5,1,253.30499999999995,0,3,1,36.44
"1,1-Dichloroethane",1,98.96,0,0,0,0.0
Sulfanilamide,1,172.20899999999997,2,1,1,86.18
Isopropalin,1,309.3660000000001,0,1,8,89.51999999999998
Lindane,1,290.832,0,1,0,0.0
Isofenphos,1,345.4010000000002,1,1,8,56.790000000000006
"1,2,3-Trichlorobenzene",1,181.449,0,1,0,0.0
Tetrachloromethane,1,153.82299999999998,0,0,0,0.0
"3,4-Dichloronitrobenzene",1,192.00099999999998,0,1,1,43.14
Cyclooctanol,1,128.215,1,1,0,20.23
17a-Methyltestosterone,1,302.45800000000014,1,4,0,37.3
Dulcin,1,180.207,2,1,3,64.35
"trans-1,4-Dimethylcyclohexane",1,112.21600000000001,0,1,0,0.0
"1,7-phenantroline",2,180.21,0,3,0,25.78
Methyl t-butyl ether ,1,88.14999999999998,0,0,0,9.23
Anethole,1,148.20499999999996,0,1,2,9.23
1-Hexadecanol,1,242.44699999999992,1,0,14,20.23
uracil,1,112.088,2,1,0,65.72
adenine,1,135.13,2,2,0,80.47999999999998
"2,2',3,4,5-PCB",1,326.437,0,2,1,0.0
Ancymidol,1,256.30499999999995,1,3,4,55.24
Benzo(b)fluoranthene,2,252.316,0,5,0,0.0
Carbanilide,1,212.252,2,2,2,41.13
phenobarbital,1,232.239,2,2,2,75.27000000000002
"2',3,4-PCB",1,257.547,0,2,1,0.0
Isoproturon,1,206.28900000000002,1,1,2,32.34
Azintamide,1,259.762,0,1,5,46.09
"2,2-Dimethyl-1-butanol",1,102.17699999999998,1,0,2,20.23
Ethyl pentanoate,1,130.18699999999998,0,0,4,26.3
"2,4,6-Trinitrotoluene",1,227.132,0,1,3,129.42000000000002
Bensulide,1,397.52400000000006,1,1,10,64.63
Cycloheptane,2,98.189,0,1,0,0.0
Propyl formate,1,88.10599999999998,0,0,3,26.3
2-Isopropyltoluene,1,134.22199999999995,0,1,1,0.0
m-Chloroaniline,1,127.574,1,1,0,26.02
"2,4-Dimethylpentane",1,100.20499999999998,0,0,2,0.0
Dibenzofurane,2,168.195,0,3,0,13.14
ethofumesate,1,286.3490000000001,0,2,4,61.83000000000001
Fluometuron,1,232.205,1,1,1,32.34
Acridine,2,179.22199999999995,0,3,0,12.89
Cortisone,1,360.45000000000016,2,4,2,91.67
glucose,1,180.15599999999998,5,1,1,110.38
3-Methylphenol,1,108.14,1,1,0,20.23
Indapamide,1,365.842,2,3,3,92.5
Lovastatin,1,404.54700000000025,1,3,6,72.83
"1,4-Dinitrobenzene",1,168.10799999999998,0,1,2,86.28
Reposal,1,262.309,2,3,2,75.27000000000002
Ethyl decanoate,1,200.322,0,0,9,26.3
Fenuron,1,164.208,1,1,1,32.34
Ethyl propyl ether,1,88.14999999999998,0,0,3,9.23
2-Propanol,1,60.096,1,0,0,20.23
2-Methylnapthalene,1,142.201,0,2,0,0.0
Chlorodibromethane,1,208.28,0,0,0,0.0
Hexestrol,1,270.372,2,2,5,40.46
Malathion,1,330.3640000000001,0,0,9,71.06
Benzylchloride,1,126.58599999999996,0,1,1,0.0
t-Crotonaldehyde,1,70.09100000000001,0,0,1,17.07
Chlorbromuron,1,293.548,1,1,2,41.57
"9,10-Dimethylanthracene",1,206.288,0,3,0,0.0
Methyl hexanoate,1,130.18699999999998,0,0,4,26.3
Dimefuron,1,338.79500000000013,1,2,2,80.37
p-Fluoroacetanilide,1,153.156,1,1,1,29.1
alachlor,1,269.77199999999993,0,1,6,29.54
Cyclohexene,2,82.146,0,1,0,0.0
Hydrocortisone ,1,362.4660000000002,3,4,2,94.83
Pyrimidine,2,80.08999999999997,0,1,0,25.78
p-Chloronitrobenzene,1,157.55599999999995,0,1,1,43.14
Methyl propionate,1,88.10600000000001,0,0,1,26.3
o-Chloronitrobenzene,1,157.55599999999995,0,1,1,43.14
Neburon,1,275.17900000000003,1,1,4,32.34
Buthidazole,1,256.331,1,2,1,69.56
Nitrobenzene,1,123.11099999999996,0,1,1,43.14
Iodobenzene,1,204.01,0,1,0,0.0
Metolazone,1,365.84200000000016,2,3,2,92.5
Methocarbamol,1,241.24299999999997,2,1,6,91.01
butachlor,1,311.85300000000007,0,1,9,29.54
"2,3-Dichlorophenol",1,163.003,1,1,0,20.23
Propyl butyrate,1,102.13299999999998,0,0,2,26.3
Propanil,1,218.083,1,1,2,29.1
