test_true_0,test_true_1,test_true_2,test_true_3,test_true_4,test_true_5,test_true_6,test_true_7,test_true_8,test_true_9
2.63,1.71,3.3,-0.72,3.2,2.16,3.99,0.7,0.02,1.09
-0.91,1.9,1.26,0.75,4.24,2.12,4.2,2.6,2.66,1.92
3.21,2.1,2.34,2.71,1.81,0.98,1.57,3.8,1.91,1.0
2.9,0.78,0.8,2.5,-0.71,2.02,0.68,1.69,2.95,3.54
3.07,0.75,2.41,3.32,2.32,2.8,2.5,2.46,3.1,3.1
1.86,2.95,0.8,3.7,3.53,2.08,3.42,1.59,2.98,3.23
3.8,0.42,3.9,3.16,3.1,3.2,1.21,0.37,0.82,1.44
1.11,0.31,3.7,3.21,3.12,2.79,2.3,-0.38,2.34,3.37
3.8,1.44,1.77,2.71,1.49,3.4,0.91,2.18,1.91,-0.07
3.66,1.74,3.91,3.67,4.11,2.93,3.7,3.4,3.15,1.22
-0.4,3.72,3.42,2.2,3.5,2.55,2.41,1.3,3.2,1.57
1.6,1.58,4.06,4.1,2.18,3.7,-0.03,4.37,1.6,2.9
3.15,3.6,1.5,2.1,1.37,3.25,2.95,3.99,3.1,1.91
0.73,-0.8,3.6,2.53,1.11,3.0,2.82,-0.16,1.05,0.76
4.06,0.19,3.3,1.71,3.66,2.2,3.9,4.0,1.3,2.85
3.1,2.24,1.52,3.37,2.26,2.76,2.04,-0.25,0.75,1.41
2.68,2.22,2.18,0.22,2.24,1.25,2.19,2.2,3.3,-0.16
2.94,3.29,-0.69,2.01,-0.99,3.14,1.0,-0.21,2.06,2.57
2.86,2.96,0.52,1.45,3.61,2.63,1.19,1.1,4.0,3.68
2.68,2.48,1.7,1.09,2.7,2.38,2.24,3.13,3.8,1.7
3.01,0.95,1.99,1.1,3.93,0.96,3.68,0.2,2.88,1.64
2.6,1.7,2.32,2.78,4.1,0.11,3.8,2.7,3.45,1.85
-1.1,2.55,-0.12,2.6,1.99,1.22,1.5,1.11,1.47,3.2
3.87,1.3,1.56,2.43,2.07,1.52,4.3,3.1,1.88,1.46
3.1,1.38,2.9,4.24,2.81,1.6,2.22,-0.87,1.89,0.68
1.05,0.92,3.8,2.54,2.6,0.51,3.27,-0.48,2.57,0.23
3.83,0.73,1.0,1.65,3.9,2.48,3.4,2.0,0.89,0.22
-0.15,3.1,3.57,3.02,-0.2,0.74,3.6,2.49,2.2,1.0
0.66,2.34,3.04,1.62,1.1,2.8,3.3,2.1,2.86,0.16
1.11,3.17,1.39,2.9,0.8,2.81,1.84,1.68,2.25,0.65
2.7,2.7,1.98,3.3,2.12,3.3,1.99,3.5,3.15,2.69
2.15,2.79,1.13,3.4,4.0,3.69,1.1,0.15,3.82,2.26
2.37,2.57,2.0,2.78,2.17,0.77,-0.42,3.18,0.66,3.04
2.0,3.52,3.85,-0.28,0.82,2.54,3.66,2.92,4.03,1.85
1.54,1.91,4.02,2.39,1.49,2.94,2.1,3.4,1.2,2.6
4.2,3.16,1.5,2.42,0.52,1.09,2.55,2.92,3.89,1.0
3.9,3.0,2.82,1.78,2.62,2.1,1.97,1.77,3.1,4.07
1.69,1.45,2.68,1.53,1.79,2.87,3.24,0.06,2.14,2.99
2.22,2.1,1.83,3.8,3.5,0.6,3.46,3.34,0.18,-0.8
1.8,2.82,4.2,2.0,3.58,1.8,0.39,0.9,3.65,1.9
-1.2,3.24,0.68,1.65,3.3,2.31,2.84,3.07,1.4,1.51
3.33,3.3,2.2,2.2,2.1,1.05,3.1,1.93,2.5,2.0
2.86,3.6,3.07,1.06,4.28,2.0,3.76,2.19,1.4,-0.54
2.04,-0.04,1.6,1.65,1.27,3.9,3.97,1.74,1.81,1.39
-0.04,2.14,3.1,-0.35,1.65,0.81,1.52,3.6,2.43,2.7
2.49,2.15,2.16,3.49,2.3,-1.02,2.45,1.34,1.71,2.48
3.62,3.0,1.9,0.52,1.33,1.91,1.87,2.12,3.04,3.66
2.6,2.41,2.57,2.22,0.02,2.21,-0.29,2.9,1.91,3.45
0.62,3.22,1.56,1.19,2.97,2.51,3.2,1.77,3.31,2.11
3.65,1.18,1.27,3.15,-0.3,1.93,1.37,0.51,2.45,4.31
1.0,2.83,2.0,3.4,2.1,2.82,3.0,0.31,1.03,2.4
1.8,1.52,1.0,0.22,0.55,1.32,4.28,2.63,3.3,3.27
2.54,3.8,0.79,3.2,3.11,1.6,1.56,2.88,2.1,2.56
2.7,2.85,2.75,0.0,1.27,1.2,3.58,0.8,3.1,2.93
1.05,1.23,3.63,3.07,2.11,4.05,2.1,-0.57,2.8,3.2
1.0,2.88,2.0,2.69,2.03,1.71,1.35,2.8,-0.15,3.15
3.04,-0.13,1.5,2.23,3.6,0.44,2.85,2.59,3.97,3.97
0.63,1.7,2.89,0.97,3.64,2.1,3.5,4.3,2.24,1.79
3.19,4.1,0.7,1.5,2.06,0.33,2.39,3.99,3.04,3.4
1.35,0.87,1.0,2.5,3.8,0.74,2.2,1.44,0.06,3.3
2.7,3.57,0.87,3.8,-0.91,4.04,3.24,-0.98,2.48,2.48
0.96,0.78,4.04,0.7,0.68,2.61,-0.51,3.21,0.94,1.75
3.3,2.8,3.92,2.0,2.65,1.7,2.7,3.8,2.31,0.36
3.08,3.07,3.4,3.65,2.9,2.53,-0.09,3.65,2.2,3.58
3.24,3.15,1.5,0.47,3.18,3.2,3.44,2.99,0.8,3.4
2.8,3.77,1.49,0.55,1.13,3.3,2.0,1.1,1.26,2.41
2.93,3.8,2.95,1.39,1.39,2.7,3.45,3.9,3.2,3.8
4.07,2.9,3.88,3.0,2.43,1.0,2.69,3.36,3.76,1.11
0.57,3.5,0.41,3.52,2.36,2.74,2.42,2.4,1.16,3.43
0.81,3.99,3.85,3.05,2.21,2.33,1.62,2.85,2.33,1.82
2.39,1.5,0.08,2.98,2.19,-0.94,1.4,2.45,4.1,2.87
2.09,-0.18,-0.27,0.99,2.7,2.87,3.12,2.33,1.3,4.37
4.12,1.81,3.47,1.0,-0.3,2.32,2.1,0.48,1.2,2.47
1.3,0.57,2.59,-0.71,2.99,2.76,1.33,3.45,1.63,-0.62
0.44,0.17,-0.34,2.41,0.61,2.91,4.31,2.9,1.95,3.12
2.27,3.0,2.06,3.04,-1.29,1.15,3.44,2.8,1.9,4.18
4.2,1.65,4.3,0.87,2.48,1.64,2.75,1.75,3.6,2.71
2.0,3.38,3.1,0.7,3.38,2.34,2.45,3.01,2.5,3.6
-0.58,1.37,1.91,3.49,0.4,3.29,3.59,2.14,3.32,0.9
0.7,1.94,3.2,3.05,-0.45,1.64,1.22,-0.5,2.94,2.1
3.4,2.11,3.97,1.85,3.4,2.63,2.03,-0.15,0.7,3.14
3.12,3.1,0.32,3.24,3.89,1.68,3.35,0.39,0.01,3.37
2.74,2.71,1.75,1.52,2.73,2.72,2.08,2.01,0.33,3.44
1.49,2.79,2.9,2.86,2.8,3.65,2.5,1.55,2.39,2.24
2.31,3.36,4.3,4.49,1.53,2.21,3.8,1.8,2.51,3.58
2.4,2.21,2.3,4.2,1.89,2.41,0.2,3.78,3.16,1.49
1.7,0.31,2.35,0.37,2.76,2.39,0.52,1.07,1.6,3.6
1.99,1.64,0.62,3.81,0.37,2.08,1.78,2.8,2.98,2.85
1.0,1.82,2.48,1.27,3.6,1.77,2.61,3.3,1.86,2.24
2.49,3.49,1.42,0.9,0.77,2.2,2.8,3.47,-0.35,1.71
0.74,2.9,3.21,2.05,2.38,0.99,2.74,3.7,2.42,3.48
2.8,2.89,1.71,2.4,3.28,3.41,1.26,3.49,3.3,2.33
1.77,3.1,2.1,1.88,1.76,2.23,2.41,3.87,1.34,1.1
2.98,0.37,2.62,3.17,-0.03,2.9,0.92,2.79,1.23,1.92
3.56,3.13,0.92,-0.51,2.63,1.9,2.87,0.6,-0.8,1.53
0.3,3.36,1.34,3.19,0.2,-0.18,-0.25,2.5,2.31,2.5
2.96,3.53,4.0,-0.76,1.77,4.2,1.72,3.3,2.31,0.6
-1.1,1.35,3.0,0.93,1.18,2.29,2.97,3.25,0.4,2.49
1.33,3.94,1.01,0.18,3.09,1.58,1.11,2.0,1.11,0.67
3.7,2.96,3.59,3.59,2.41,2.74,2.63,4.31,3.48,2.75
-0.75,2.2,3.6,2.66,1.58,-0.25,1.78,1.66,3.8,1.73
2.78,2.83,1.16,3.71,1.01,0.85,2.2,1.07,3.22,-0.09
1.46,2.0,1.39,1.5,0.6,-0.25,3.43,3.6,1.86,4.1
3.18,2.6,1.83,1.8,3.21,3.1,3.2,2.74,2.88,2.9
0.3,3.35,2.18,-0.07,3.1,1.87,4.03,2.72,3.16,1.61
3.12,0.99,1.5,1.07,1.5,3.3,3.36,4.05,2.87,2.24
2.49,2.1,1.69,0.4,1.06,1.78,2.71,0.73,-0.75,1.87
2.86,2.7,-0.09,2.85,3.94,3.47,1.9,3.62,3.11,2.96
3.93,0.78,2.74,0.9,0.86,4.02,1.5,1.61,2.4,2.3
2.89,3.31,0.98,1.51,1.51,1.7,2.1,4.3,3.21,2.97
1.97,2.41,1.89,1.71,2.3,-0.83,2.88,3.33,3.21,1.9
1.97,1.1,3.0,2.6,3.12,-0.16,0.54,2.99,3.61,2.8
1.57,2.22,2.69,2.8,2.1,2.1,0.42,0.9,3.2,3.2
1.55,0.2,0.77,3.75,1.74,2.71,3.5,2.12,1.33,1.48
1.8,2.37,2.86,-0.84,1.36,2.69,-0.84,1.5,1.18,3.25
3.23,2.08,3.14,3.27,0.95,2.63,3.3,1.3,3.3,3.68
3.1,3.62,-0.05,2.9,3.8,3.96,2.55,3.42,2.6,0.7
1.91,3.13,4.05,3.0,2.84,2.32,3.12,2.7,1.82,2.0
2.18,4.17,2.23,-1.08,3.21,1.6,1.43,2.4,4.13,2.95
1.07,1.42,3.1,2.0,-0.27,2.1,2.14,1.4,3.0,0.8
3.7,0.8,2.2,4.1,3.3,3.37,-1.33,3.68,-0.27,3.6
3.42,2.4,3.2,1.96,4.48,4.13,2.37,1.52,1.72,2.24
2.36,3.25,3.2,3.72,0.86,1.2,2.71,2.77,1.86,2.33
0.2,2.52,1.05,2.23,1.91,2.6,0.5,0.1,3.22,2.7
3.2,2.08,2.27,0.9,0.2,1.64,2.06,-0.76,3.15,3.7
-0.03,-0.41,2.79,0.9,2.25,2.9,1.0,2.5,3.4,1.97
2.56,2.2,1.41,1.85,1.99,1.98,1.2,1.03,2.35,3.3
2.8,1.18,1.51,2.86,0.98,3.02,1.68,2.1,1.85,0.47
3.9,3.3,3.1,3.4,2.71,2.15,1.71,3.86,0.31,2.1
0.44,2.61,2.47,2.94,3.52,2.0,1.7,2.1,0.4,3.07
2.6,2.74,-0.83,3.5,3.06,2.22,2.42,2.34,3.0,0.9
2.34,2.81,3.31,2.16,2.31,0.55,2.32,-0.9,0.31,3.39
3.05,2.1,4.1,4.0,3.01,0.95,2.55,0.8,4.17,3.6
1.99,2.16,2.64,3.56,0.87,1.1,2.1,3.0,3.3,2.1
3.07,0.0,3.1,2.1,3.0,1.4,3.19,3.48,1.35,2.7
2.62,2.81,3.2,2.37,-0.49,2.99,3.93,2.21,-0.88,2.72
0.6,0.78,3.01,3.7,1.77,3.16,2.76,-0.4,-0.2,3.26
2.98,3.25,3.66,2.64,2.63,3.2,3.6,3.85,2.81,2.16
2.4,2.01,1.48,1.59,2.79,3.8,0.44,1.93,3.9,3.36
-0.4,3.3,4.49,3.52,1.48,0.58,3.5,2.24,3.02,0.7
2.45,2.86,1.11,1.9,4.39,1.9,3.0,3.0,3.1,3.62
-0.2,3.4,2.5,3.16,2.89,2.0,3.4,2.15,2.3,-0.51
2.97,3.46,0.22,0.78,2.17,2.47,1.65,3.11,2.52,-0.48
1.5,3.0,2.26,0.05,2.0,0.12,2.4,1.88,2.76,2.56
2.7,2.19,3.73,1.31,3.46,2.2,2.7,1.3,3.04,-0.84
-0.3,3.14,3.7,3.12,3.6,1.52,3.3,2.49,2.44,2.46
0.3,4.0,1.74,2.2,1.61,0.25,2.09,3.1,2.81,-0.56
3.33,1.84,3.23,2.63,3.72,1.11,-0.15,-0.49,2.7,1.47
3.37,3.6,1.32,2.13,3.57,3.5,2.96,2.62,2.58,3.44
3.5,3.0,3.83,-0.29,4.28,2.81,3.47,1.26,3.0,2.55
0.48,3.12,2.63,3.4,1.68,3.19,2.27,3.07,2.08,-0.8
1.22,3.7,3.5,1.22,-0.84,-0.05,1.96,1.4,1.25,-0.06
4.49,3.7,0.98,2.5,2.75,0.8,3.0,3.37,2.3,1.9
2.71,1.48,0.79,1.44,-0.79,0.41,2.09,2.63,3.15,3.8
1.56,2.7,3.13,2.19,0.3,3.26,1.0,4.06,1.5,2.76
3.01,1.2,2.8,2.98,3.27,1.39,2.2,3.72,0.3,1.67
2.66,3.24,2.54,4.12,2.3,0.6,1.11,0.75,2.86,1.26
2.0,2.36,2.7,3.8,1.85,3.07,2.32,2.77,3.4,2.63
3.14,-0.22,1.29,3.13,2.92,2.0,2.08,3.1,0.68,3.49
2.5,4.0,3.4,2.17,2.6,1.78,3.5,1.38,1.3,0.88
2.8,3.5,1.0,1.23,1.84,3.67,3.1,2.58,3.6,1.7
0.75,2.87,2.9,2.15,3.2,1.2,-0.88,4.21,3.57,3.14
3.58,1.84,3.02,3.38,3.75,1.84,2.7,1.75,2.76,2.63
1.7,2.0,3.65,2.18,1.96,2.14,4.28,2.9,3.84,2.4
1.2,2.27,1.02,0.9,1.57,3.44,3.3,-0.04,1.12,0.55
3.44,2.0,2.78,1.6,0.74,2.62,3.37,1.13,2.2,2.5
2.06,1.6,3.58,3.2,1.44,1.69,2.54,0.3,2.9,2.75
2.2,1.11,1.97,2.18,2.94,2.5,2.94,2.3,3.27,3.27
4.37,2.5,2.51,3.39,3.4,3.57,0.99,1.88,3.5,3.7
4.2,1.92,2.25,1.87,1.97,3.27,-0.16,0.19,2.11,2.3
1.9,3.89,3.3,3.29,2.16,4.29,2.58,2.23,3.99,3.7
3.93,2.2,2.81,1.6,2.21,2.1,3.59,4.23,3.85,0.82
2.87,2.68,2.49,2.19,1.86,3.58,3.7,3.5,1.1,3.0
1.23,3.28,3.84,3.1,2.84,2.4,1.5,3.2,0.03,2.92
2.28,0.8,2.12,1.7,2.55,1.95,3.2,2.9,0.3,2.3
1.79,0.2,1.27,3.3,2.18,2.19,1.08,3.1,-0.09,3.3
-0.25,2.9,1.71,2.41,1.95,-0.92,2.36,1.51,0.97,1.1
3.88,3.4,0.25,1.81,2.39,1.6,2.5,1.2,3.42,2.75
-0.5,1.1,0.62,1.6,0.69,1.7,3.58,0.53,1.83,3.6
2.03,2.87,3.1,1.0,1.74,0.44,2.6,1.06,0.9,1.16
3.77,2.41,3.36,3.08,2.6,2.43,0.83,2.35,3.05,3.8
3.26,1.96,2.36,1.9,3.63,-0.42,3.23,1.31,-0.27,2.34
2.23,3.3,1.0,1.27,2.42,2.3,2.74,2.6,2.5,2.01
2.15,1.06,2.1,2.4,3.84,3.44,2.9,2.62,-1.41,0.21
1.81,1.5,3.6,2.16,1.75,-1.01,2.12,3.39,3.6,0.8
1.19,3.16,2.08,0.46,3.29,3.96,2.24,0.81,0.44,2.9
3.3,2.0,3.2,3.0,2.24,3.62,2.26,2.5,1.6,2.2
1.93,3.27,1.65,1.95,3.4,0.74,1.55,1.4,3.29,2.1
3.0,2.85,3.2,3.23,-1.08,3.38,2.55,3.62,3.3,1.24
2.16,1.9,2.36,1.21,2.52,1.5,2.18,2.1,2.72,2.15
2.9,2.81,1.13,2.44,3.46,3.24,2.79,1.99,1.54,0.51
2.67,0.33,0.14,3.1,2.76,3.92,2.49,-0.51,3.4,2.8
3.9,3.81,2.62,3.19,3.12,2.37,3.1,2.78,1.7,1.2
2.9,3.1,3.3,2.15,1.52,1.46,2.7,2.55,1.35,2.61
2.33,3.4,2.62,1.46,-0.81,2.7,3.15,0.26,1.41,2.9
0.9,1.39,0.86,2.5,0.75,3.49,2.11,2.65,2.93,3.51
1.66,0.85,2.9,2.81,2.12,3.38,0.82,0.93,2.2,2.19
1.83,2.87,2.9,2.43,2.53,2.09,3.1,0.89,1.7,2.0
3.75,0.46,3.7,3.4,3.5,2.5,1.28,2.88,1.47,1.0
2.1,-0.28,2.4,1.81,3.1,1.32,-0.25,1.16,3.3,0.52
2.21,1.26,3.4,2.74,3.54,1.88,3.15,1.13,2.84,1.93
1.1,2.53,2.19,1.5,2.31,4.2,0.22,2.6,3.06,0.94
2.39,1.94,0.64,0.96,1.56,0.9,3.58,3.31,4.1,2.2
1.7,2.1,3.1,2.4,3.74,2.88,2.5,1.4,0.84,1.8
4.42,0.4,3.17,1.3,1.3,2.1,2.99,3.31,3.28,1.77
3.52,1.6,1.6,1.46,2.7,-0.34,3.39,3.65,1.63,1.29
1.94,1.51,1.7,2.77,3.52,1.27,1.3,1.55,2.3,-0.62
1.8,3.09,3.23,2.62,2.44,0.58,3.3,3.17,1.11,0.25
2.87,-0.27,3.14,2.5,2.9,1.6,1.47,3.15,3.33,2.58
2.08,3.1,2.67,3.1,0.57,-1.31,1.61,3.11,3.66,2.14
3.49,3.62,3.13,0.91,0.18,4.19,2.2,3.15,3.9,3.29
2.58,2.83,3.9,2.68,2.9,2.46,4.06,2.06,2.74,2.08
3.4,1.65,2.95,1.38,2.06,2.31,3.34,1.3,2.0,4.33
3.9,-0.37,-0.35,2.49,0.9,3.38,2.0,1.05,2.4,3.8
2.86,3.05,0.5,2.06,3.86,3.6,1.2,1.21,1.62,2.88
2.96,4.2,1.8,3.42,1.72,3.75,0.74,3.2,1.6,3.23
2.5,2.71,4.28,3.37,3.22,3.6,2.67,3.79,2.9,2.55
1.9,2.56,-0.59,2.2,1.45,1.19,2.93,2.42,1.28,1.99
3.39,-0.12,0.05,3.0,4.0,1.67,1.95,0.27,3.5,1.52
0.75,4.25,3.7,2.92,2.58,0.91,2.42,3.96,1.05,2.69
2.9,2.41,2.87,2.48,2.73,4.0,2.75,1.1,2.97,1.1
1.9,1.71,2.94,2.33,-0.6,1.07,3.37,1.38,3.1,1.94
3.8,1.6,2.96,0.32,2.81,2.01,0.92,2.63,-0.15,1.56
1.5,0.78,2.44,3.4,1.73,3.5,-1.03,3.05,3.7,2.28
1.34,3.59,3.23,-0.84,3.5,0.8,3.69,2.41,2.82,2.7
3.4,3.6,-0.28,0.81,0.6,3.09,1.71,2.8,2.69,0.22
2.7,1.6,3.2,-0.58,2.5,2.43,4.27,2.41,0.64,0.68
2.78,1.77,3.5,0.98,2.23,0.78,3.7,1.99,1.3,3.2
1.65,1.33,3.5,1.84,2.45,2.51,4.13,0.87,1.0,2.57
2.93,2.78,3.49,1.77,-0.8,1.33,2.76,3.03,2.71,2.8
1.5,1.37,1.64,3.31,3.6,2.71,3.28,2.8,2.98,2.81
2.3,2.58,1.8,3.5,-0.65,3.4,2.67,2.83,3.29,3.01
2.82,3.95,1.47,0.64,3.95,1.55,1.95,3.39,0.63,3.58
2.26,0.6,2.0,0.78,3.4,3.27,0.69,3.8,1.61,-0.82
1.4,3.7,3.16,2.89,1.47,2.89,1.52,1.01,3.7,3.8
3.6,1.43,2.89,2.61,2.14,1.9,2.41,2.86,3.23,1.72
0.64,3.17,3.8,3.2,-0.1,2.13,3.8,2.7,2.93,2.71
4.2,0.94,1.1,3.31,1.12,0.47,3.8,1.75,0.8,3.4
2.88,3.06,3.95,0.49,0.73,3.2,1.78,0.64,2.96,3.93
1.05,3.22,2.49,2.3,1.18,2.63,3.07,0.03,3.21,2.85
3.9,2.16,0.58,3.1,3.1,3.1,3.18,3.57,4.21,-0.1
2.24,2.22,3.65,-0.87,0.9,4.3,1.79,1.81,2.12,3.12
-0.05,2.34,0.4,2.79,0.73,0.25,1.6,3.81,2.89,3.3
3.5,1.9,1.6,2.7,2.77,0.84,0.77,0.76,1.84,3.8
1.71,3.21,3.26,2.56,2.79,2.47,3.25,-1.1,3.02,2.32
3.24,2.72,2.0,2.9,1.9,2.5,3.14,3.0,2.32,3.67
0.78,0.84,3.6,1.9,3.5,1.94,-0.92,2.59,2.17,2.31
2.87,3.3,0.4,3.9,1.38,0.95,1.44,1.15,2.7,2.72
2.32,1.33,-0.89,2.4,4.3,2.96,1.22,0.56,-0.87,4.3
2.0,3.9,3.8,2.31,1.65,0.9,2.17,3.18,2.2,2.4
3.96,2.36,3.22,2.2,1.97,1.0,1.0,0.95,4.49,2.27
1.7,1.26,1.58,-0.11,3.36,1.4,3.8,3.18,2.69,2.63
0.42,3.01,-1.18,1.4,1.9,2.7,1.32,2.75,2.6,1.6
2.36,2.87,1.4,2.23,1.0,3.12,1.13,1.79,2.68,2.62
2.32,3.24,2.25,1.9,3.6,3.68,0.25,0.4,2.66,4.19
3.2,2.73,1.33,4.1,1.45,2.8,0.66,2.4,1.46,1.5
1.42,2.96,0.3,0.68,2.43,2.12,2.69,0.59,1.5,0.86
1.65,1.86,3.3,1.82,2.78,3.17,1.9,2.4,2.41,1.25
2.66,1.39,-0.09,-1.18,-0.25,3.2,2.19,2.61,3.22,1.19
1.29,2.8,0.8,2.77,1.08,-0.04,1.5,2.55,2.3,0.36
2.76,0.4,3.35,3.05,3.05,2.0,2.64,2.9,0.74,2.3
2.0,-0.71,3.18,2.62,-0.94,3.65,1.11,0.91,3.32,2.87
0.4,2.63,2.8,3.37,0.02,2.4,-0.63,3.37,-0.49,1.59
2.93,2.98,2.4,2.4,0.93,1.85,2.43,2.89,2.8,3.4
2.4,1.68,1.83,-0.99,1.46,3.35,2.81,2.37,3.7,3.12
1.88,2.05,1.18,2.22,1.01,1.5,2.6,2.99,3.05,-0.45
2.48,3.31,1.32,1.83,2.41,1.09,3.07,3.1,2.5,2.0
-0.01,3.8,3.4,1.6,2.02,2.09,1.42,0.31,2.37,1.79
0.79,1.7,3.58,1.2,2.8,0.32,1.99,1.6,3.02,1.67
3.2,1.78,3.78,0.66,1.22,3.38,3.96,3.42,2.42,3.1
3.3,3.4,1.9,1.99,2.11,3.5,3.5,3.9,1.72,4.06
2.4,2.2,0.36,-0.07,3.6,4.2,1.58,0.85,0.7,2.7
2.1,0.9,3.7,2.84,1.69,2.67,3.2,1.85,3.07,3.0
2.6,3.38,4.37,1.0,2.69,1.47,2.2,3.0,2.83,2.58
2.99,2.25,0.7,2.55,1.65,1.7,4.36,-0.65,3.57,1.5
2.7,0.7,3.35,-1.33,3.22,1.37,4.5,2.47,0.7,1.98
0.67,1.79,0.93,2.66,3.5,4.12,3.18,1.18,2.0,1.94
