test_true_0,test_true_1,test_true_2,test_true_3,test_true_4,test_true_5,test_true_6,test_true_7,test_true_8,test_true_9
3.51,1.13,2.92,1.11,3.15,2.5,0.6,1.9,2.37,3.1
2.1,4.33,2.35,2.0,2.47,-0.69,3.4,3.3,1.67,3.56
0.78,2.74,3.18,3.19,2.89,2.81,0.4,-1.08,3.59,2.4
2.96,-0.1,1.3,3.02,2.77,1.5,0.79,1.49,3.0,2.82
3.17,1.26,-0.45,1.26,3.3,1.77,2.4,2.98,3.5,2.83
2.81,3.27,1.0,4.39,3.17,1.92,2.5,2.56,1.86,1.1
-0.31,-0.04,2.7,0.2,3.56,2.6,3.3,3.22,2.9,1.71
2.77,2.37,1.13,3.5,2.55,2.61,3.0,-0.91,2.27,1.21
1.64,2.1,3.15,2.61,2.8,-0.65,2.4,1.22,3.8,0.57
3.16,2.3,3.53,3.48,3.76,0.77,2.99,2.08,2.35,3.64
3.39,2.3,2.26,2.16,3.8,3.25,2.08,2.6,3.85,2.5
2.7,3.51,3.0,3.7,3.3,2.0,3.1,1.78,2.83,-0.16
1.09,2.2,2.78,2.81,2.93,2.55,2.67,2.9,4.0,-0.83
0.78,3.22,3.1,-0.21,0.02,1.6,2.83,4.15,-0.5,1.53
2.8,3.4,2.55,2.82,2.0,2.0,2.35,2.54,0.6,0.6
3.3,-0.59,1.89,-0.34,3.99,0.35,3.3,2.77,0.79,1.75
1.9,0.3,3.4,2.37,3.14,4.1,3.4,2.0,2.6,2.62
2.19,3.3,1.75,2.9,2.14,2.07,3.39,4.3,1.13,2.46
3.13,3.56,1.85,2.81,3.69,0.82,1.7,1.0,2.31,2.01
2.74,0.9,1.52,0.97,1.6,3.14,4.2,1.49,0.96,2.7
3.21,2.3,2.39,2.35,2.59,2.12,0.7,0.21,2.43,2.9
1.45,3.59,2.2,2.9,0.36,2.44,0.7,2.8,3.3,2.06
2.66,-0.21,4.0,2.07,3.57,2.8,3.41,1.2,1.81,2.8
2.47,0.1,1.2,3.38,1.46,3.6,2.9,2.0,2.19,3.15
2.89,1.07,2.16,-0.16,0.33,3.5,0.05,-0.72,1.66,1.72
3.8,3.56,2.16,1.6,2.71,2.03,1.08,3.12,2.08,0.34
1.96,2.6,0.81,1.99,3.6,-0.01,1.8,2.72,1.87,1.02
2.12,2.7,3.1,2.42,3.9,1.49,1.33,3.5,3.62,3.1
2.98,2.0,1.33,2.41,-0.7,1.56,2.6,2.54,1.75,2.5
1.23,1.27,0.6,3.54,1.62,2.8,1.2,-0.28,3.17,0.22
2.82,1.26,3.12,2.26,4.04,1.17,0.87,1.5,3.1,0.7
1.6,2.26,1.75,3.49,0.7,3.27,2.14,2.82,3.1,-1.1
2.34,1.5,0.56,2.55,-0.87,3.53,3.19,2.4,2.8,3.26
2.1,2.87,2.0,2.71,1.78,1.53,1.75,2.5,2.8,3.15
2.41,2.6,0.67,2.8,2.03,3.06,2.41,3.97,2.0,3.17
-0.08,-0.34,1.3,1.6,0.78,1.49,1.35,3.34,2.9,1.94
1.88,2.23,2.7,-0.63,2.0,1.42,2.49,3.95,-0.33,4.2
3.4,0.53,-0.7,1.43,1.42,3.52,1.51,3.44,4.2,1.26
2.68,1.85,3.9,2.55,2.33,0.25,3.0,1.92,3.83,2.18
2.06,2.68,1.97,1.33,1.82,2.52,2.0,2.7,1.91,3.62
2.15,1.64,3.2,2.23,2.47,1.75,1.33,0.6,1.4,2.5
1.68,2.96,0.74,2.39,3.35,3.58,3.0,1.1,-0.53,0.52
-0.27,1.78,3.1,2.8,1.07,3.99,2.76,2.54,3.6,2.6
3.72,3.7,2.3,1.0,3.78,1.84,2.17,1.39,0.89,1.4
3.7,3.75,2.66,3.3,1.39,3.52,2.16,3.7,3.47,3.3
0.8,1.33,2.9,2.8,2.2,3.5,2.71,3.21,-0.12,1.9
2.9,2.0,0.89,3.1,2.37,0.4,-0.53,1.5,1.95,0.23
-0.1,3.7,3.34,0.29,3.22,2.3,2.97,3.37,3.0,1.07
-0.01,4.21,2.55,3.33,0.92,3.6,2.35,3.16,1.96,2.2
2.62,2.15,0.7,2.15,3.1,1.4,2.6,3.15,4.23,2.3
2.54,-0.01,3.45,0.92,3.6,1.91,2.21,1.4,1.49,1.27
3.16,1.75,1.46,1.94,2.49,2.05,3.25,3.52,1.75,2.7
-0.12,2.7,3.01,3.62,2.4,3.02,3.8,3.4,1.41,1.13
2.74,1.91,3.8,2.03,0.7,3.0,3.1,3.9,3.69,1.97
2.67,2.09,0.36,-0.12,1.61,3.1,1.15,1.6,0.15,3.04
2.68,2.68,3.09,3.9,3.33,1.5,-0.04,2.87,2.1,1.55
3.27,3.04,1.22,0.01,4.26,3.6,3.9,3.78,2.61,2.33
2.08,0.94,3.41,2.26,2.82,2.87,3.3,1.33,0.7,1.97
0.2,2.76,3.32,3.4,3.0,2.75,3.21,0.98,-0.78,1.98
3.58,0.4,1.38,2.09,3.5,0.22,2.71,0.54,4.38,2.34
0.15,1.5,3.29,2.1,2.44,0.46,0.4,-0.96,1.4,1.66
-0.2,1.61,0.86,3.04,2.49,3.01,2.43,1.1,1.06,3.6
2.91,4.0,4.01,-0.22,3.59,2.55,4.23,1.84,2.04,3.36
3.4,1.23,1.71,2.75,3.0,3.83,3.7,4.1,2.65,2.44
0.84,1.38,1.0,2.32,2.58,1.44,1.06,2.68,1.5,2.75
-0.1,2.23,0.7,2.67,2.9,0.22,3.6,1.7,3.3,2.12
2.5,2.36,1.5,3.45,1.6,2.36,1.8,3.83,1.32,3.97
1.0,3.07,0.95,1.3,1.79,0.36,1.11,2.87,0.6,2.09
-0.87,3.97,1.88,4.3,1.07,0.1,2.43,3.97,3.1,0.53
2.37,0.59,4.25,2.4,0.8,1.67,3.31,1.63,3.62,3.1
2.21,1.89,4.2,3.6,2.05,3.44,0.27,0.99,0.29,2.77
2.23,2.99,2.02,3.1,3.45,2.4,2.1,3.22,3.2,2.53
0.7,1.79,-0.52,1.78,2.83,2.4,1.64,3.2,1.91,2.1
3.6,3.91,1.77,2.59,3.24,2.4,2.63,2.7,-0.83,1.26
2.16,4.1,2.86,1.55,2.9,1.86,2.28,0.06,3.2,3.0
1.89,3.71,1.02,3.6,3.6,0.19,1.75,0.68,0.35,2.74
2.67,3.58,3.1,2.96,3.41,1.19,0.41,-0.66,4.0,2.53
3.8,2.92,1.34,1.88,3.2,-0.09,3.0,0.52,0.25,2.5
2.03,0.57,2.6,3.24,2.55,1.95,2.26,2.7,-0.14,1.3
2.22,0.8,2.53,0.51,0.47,1.78,0.93,2.07,2.9,3.32
1.08,2.59,0.37,3.3,3.9,2.62,0.58,0.94,1.3,2.3
3.31,3.38,0.35,2.29,3.29,2.27,-1.02,3.35,3.0,3.05
4.13,1.59,2.39,2.51,1.0,2.96,1.59,1.45,4.02,2.41
3.54,-0.1,4.27,2.63,1.6,1.78,3.0,2.96,3.43,3.97
2.82,2.69,3.1,3.29,1.57,2.5,0.2,3.3,3.58,1.42
1.89,3.3,1.2,1.2,1.54,3.07,1.73,3.37,3.04,2.48
0.46,2.84,1.61,2.2,0.95,3.16,3.7,1.25,2.83,2.8
1.94,3.8,1.21,1.91,0.7,3.9,2.4,2.66,-0.4,3.17
3.41,2.24,4.06,1.68,2.9,1.31,2.96,3.2,2.7,2.16
3.8,1.42,3.66,2.75,2.0,0.23,2.8,2.54,1.4,0.75
2.2,3.1,0.54,2.8,2.5,3.4,1.74,2.64,0.97,2.69
3.35,2.28,0.68,3.9,1.26,2.6,1.05,3.44,2.28,2.1
3.6,0.15,1.26,3.25,2.03,3.8,1.28,2.7,2.8,3.2
2.68,1.97,3.37,0.61,2.83,2.61,0.99,3.35,2.0,1.94
4.0,3.57,0.83,1.79,0.77,0.78,1.27,2.4,1.15,1.49
-0.28,2.62,0.9,-0.51,3.76,2.7,3.37,1.94,-1.02,3.01
3.25,2.05,0.92,0.97,0.72,2.94,2.06,2.7,1.7,4.13
2.5,1.05,2.41,-0.38,0.15,2.31,2.91,3.66,0.58,3.95
2.95,1.72,1.42,2.83,2.54,1.5,1.6,3.7,3.38,0.33
3.45,2.76,3.94,2.06,3.49,3.14,1.92,2.55,2.96,1.75
3.5,2.23,3.5,1.38,3.97,3.05,1.19,2.63,0.78,1.53
1.98,0.31,3.45,-0.31,0.92,0.27,2.2,0.92,0.9,2.83
2.9,2.4,2.82,3.12,1.06,3.28,3.8,1.59,2.4,1.74
1.3,0.24,2.64,2.5,3.2,1.88,2.7,2.18,2.12,2.69
2.12,1.92,2.79,1.79,2.93,3.46,0.77,2.98,3.99,0.33
2.93,3.6,2.39,3.8,3.57,-0.1,2.35,0.38,4.15,2.6
1.5,3.69,2.52,2.8,3.1,1.0,0.2,2.87,2.45,3.1
0.29,3.7,2.23,1.2,3.84,2.75,2.4,3.27,3.33,3.56
3.6,1.6,2.52,2.16,3.01,2.83,2.46,1.53,1.44,2.72
-0.65,-0.58,1.78,2.83,3.16,2.93,1.7,3.2,4.48,1.65
3.14,2.94,1.58,2.43,2.5,-0.2,2.72,-0.06,2.99,3.4
3.92,2.48,0.7,1.5,2.94,1.51,3.31,1.2,4.26,1.38
2.41,2.83,1.65,2.9,3.07,2.88,1.28,2.4,-0.57,3.65
3.41,0.8,3.5,2.41,3.8,3.83,3.0,3.14,2.5,4.15
1.09,3.4,2.14,1.3,3.5,3.72,3.97,3.0,3.16,2.18
1.44,1.2,2.4,1.86,2.27,3.14,3.2,3.86,1.7,3.07
-1.27,2.86,2.63,2.66,4.0,2.3,2.8,1.98,2.05,0.66
1.53,3.5,3.58,1.74,-0.88,2.87,2.83,3.7,2.9,1.4
1.64,0.4,2.4,2.5,1.78,2.48,2.0,1.11,2.5,4.05
1.29,2.7,2.2,2.56,3.7,1.22,1.7,3.8,3.75,3.61
2.77,3.5,3.56,-0.22,2.93,4.38,3.8,1.45,2.5,3.6
2.29,1.56,1.45,1.0,-0.92,0.3,-0.87,3.72,3.16,1.52
0.49,2.4,4.15,0.9,3.31,2.54,1.2,3.8,2.52,-0.78
2.14,1.2,3.93,0.88,2.9,0.95,4.3,0.85,3.57,0.84
1.43,4.01,2.41,1.09,3.0,2.45,0.4,2.87,3.1,3.3
3.22,2.1,3.6,3.6,0.8,3.0,1.37,1.96,2.56,4.1
0.08,2.46,3.21,1.97,1.13,2.8,1.13,1.22,2.5,2.5
3.2,3.0,1.02,2.23,3.2,1.19,1.02,3.12,2.3,1.94
1.4,2.36,2.29,2.9,2.37,1.06,3.2,4.2,2.88,3.4
2.68,-1.02,3.65,2.49,2.88,2.36,1.3,2.61,2.9,1.75
3.63,2.28,1.63,3.4,2.48,1.7,2.84,1.26,4.2,3.17
3.4,3.86,2.26,2.08,3.0,2.4,3.36,3.14,1.69,2.33
0.05,1.97,2.7,2.28,2.73,1.97,1.44,2.99,1.18,4.03
3.01,2.27,1.73,2.87,2.08,1.91,2.98,3.6,1.1,-0.28
0.49,2.8,1.4,3.41,-0.12,2.62,3.32,2.88,3.0,2.29
1.91,0.06,2.6,2.69,2.3,4.31,-0.65,3.3,2.53,3.6
0.69,2.43,2.61,0.31,0.75,3.93,2.88,0.68,2.32,3.7
-0.56,0.61,1.32,2.4,3.21,3.41,0.54,2.37,1.86,2.88
4.3,-0.79,1.61,3.1,3.07,2.74,3.4,3.8,0.15,1.94
2.99,4.06,1.78,2.3,2.6,2.03,-0.72,1.13,2.07,2.6
3.21,2.76,0.08,4.1,-0.62,2.7,1.24,3.2,0.95,3.0
1.7,3.67,1.7,3.49,1.77,2.92,2.7,1.4,1.45,3.56
3.72,1.78,2.55,1.1,3.26,3.02,2.67,1.48,2.86,3.2
3.54,2.72,0.28,3.0,0.97,0.14,0.53,2.26,1.29,3.9
3.13,2.17,2.35,3.2,-0.93,1.51,3.06,0.21,2.7,2.93
4.2,2.5,3.56,2.36,0.2,2.93,3.62,2.9,1.1,2.76
3.63,3.26,1.8,2.54,3.47,3.6,2.8,1.27,2.67,2.98
2.09,1.85,3.18,1.09,3.0,1.69,1.82,2.84,-0.12,1.6
2.0,2.0,2.8,3.17,3.86,2.15,1.75,3.31,0.51,0.53
1.85,3.7,2.78,2.0,2.01,2.94,3.3,0.67,2.8,2.18
1.8,2.14,1.39,2.62,3.85,2.24,2.4,2.01,0.37,3.56
0.06,-0.06,2.48,1.94,4.0,2.2,3.8,2.61,3.14,3.01
1.33,2.24,3.61,1.16,2.58,1.32,0.87,2.1,2.22,2.54
1.9,1.79,3.37,0.66,1.3,2.1,2.2,3.3,0.49,1.2
3.0,1.21,2.45,3.0,1.2,3.43,3.52,3.1,3.5,1.14
1.6,1.49,3.59,0.05,4.01,1.6,-0.34,3.38,-0.05,-0.03
2.6,-0.72,2.5,2.5,-0.16,-0.81,2.54,0.9,1.56,-0.04
3.53,3.12,2.7,0.14,3.32,3.2,2.89,1.98,3.1,3.5
2.15,0.79,3.4,1.5,3.0,2.82,2.12,2.85,1.56,1.22
3.02,1.4,0.68,0.38,2.1,-0.22,1.32,2.9,1.6,2.74
0.31,2.8,3.98,0.08,2.33,1.89,3.07,1.61,1.16,2.65
1.1,0.16,2.0,0.06,3.2,1.7,3.9,1.88,3.24,-0.35
3.12,2.7,2.7,0.06,3.9,0.51,-0.85,2.7,3.2,2.3
1.86,3.33,0.5,1.09,2.41,3.79,2.2,3.1,2.0,2.95
1.8,3.14,2.63,3.53,1.48,3.97,3.6,1.64,2.34,2.99
3.05,2.79,1.6,1.05,1.25,2.9,2.68,1.25,1.01,2.35
-0.49,2.72,3.75,2.01,3.92,3.58,2.62,4.34,0.2,2.2
1.57,0.02,2.72,2.7,3.37,2.63,-0.34,2.35,2.0,1.33
3.5,3.11,-0.58,2.21,3.1,1.93,1.0,0.69,3.37,-0.58
2.02,2.06,2.38,4.3,3.52,1.26,1.8,3.6,1.69,2.0
1.1,2.1,2.4,0.36,-0.09,2.5,3.43,3.3,3.2,2.48
2.95,1.2,2.8,2.08,1.55,1.99,0.8,1.69,0.2,2.92
3.56,-0.55,0.56,0.76,3.29,2.63,3.9,2.94,1.75,2.0
3.3,4.07,2.33,2.8,3.8,1.77,3.89,0.91,0.31,2.64
2.95,2.35,1.92,2.75,3.3,1.5,3.37,2.0,1.99,1.45
2.5,3.77,3.21,3.26,2.13,3.57,1.8,3.36,1.7,3.28
3.97,0.44,2.77,-0.82,1.33,2.78,1.18,2.71,0.84,2.67
1.06,2.43,2.6,2.51,3.9,3.31,3.1,2.89,1.78,1.4
2.32,2.01,0.78,2.33,1.39,3.6,1.03,3.19,1.29,1.7
0.44,1.3,0.8,3.6,3.51,2.44,2.94,-0.16,1.28,0.3
-0.72,0.91,3.2,3.4,3.44,4.05,0.3,4.33,1.97,-0.25
2.9,2.04,3.37,3.02,1.55,0.27,1.9,0.8,2.4,3.79
3.4,1.9,2.93,3.07,3.7,3.78,2.82,0.44,3.1,2.3
3.81,1.71,2.3,-0.66,3.4,3.16,2.8,2.39,1.26,3.5
-0.62,1.69,1.4,2.28,3.56,1.7,2.95,2.78,0.98,0.6
3.0,2.12,1.3,3.02,4.1,0.86,2.65,3.41,0.05,1.18
2.2,1.96,-0.42,2.25,2.2,1.65,3.2,1.91,1.65,0.44
3.5,2.0,2.67,2.8,1.35,3.12,3.4,1.92,1.26,2.06
2.05,1.86,1.23,1.92,1.58,2.0,0.69,4.0,3.29,0.63
2.4,2.2,2.19,2.01,1.92,2.08,1.72,2.5,3.0,3.5
2.37,2.91,2.3,0.57,-0.3,2.43,3.4,1.58,3.49,2.05
2.03,2.04,2.34,2.84,2.54,2.83,2.65,3.18,2.03,1.9
4.29,-0.16,3.05,1.51,2.41,3.6,-1.25,1.09,1.4,2.83
1.3,1.88,2.17,2.32,3.24,1.86,2.66,2.41,2.99,1.56
1.4,2.55,2.65,0.39,1.26,3.7,2.2,2.17,2.5,2.8
-0.69,-0.2,3.2,0.8,2.26,2.68,1.3,2.09,3.45,1.73
4.21,2.4,3.0,2.8,1.14,2.5,0.82,3.68,1.75,0.92
1.6,3.61,1.2,2.39,0.52,2.73,1.94,-0.09,3.9,3.3
4.1,4.26,3.8,1.0,2.23,1.4,2.77,4.26,2.01,2.7
1.97,-0.45,0.2,2.32,0.35,2.54,3.72,3.53,2.23,3.2
3.0,3.3,1.44,3.2,3.42,2.79,3.2,2.12,3.0,2.2
1.14,2.13,1.4,3.3,1.07,3.0,2.75,3.0,0.14,2.58
3.27,3.72,2.86,3.7,2.35,3.39,2.93,2.45,1.2,1.86
2.47,1.47,3.0,2.25,1.95,3.22,1.82,3.15,3.21,2.55
0.4,2.7,2.9,0.8,3.16,2.2,2.68,2.62,3.02,3.24
3.65,3.0,1.15,3.5,3.3,1.39,2.92,2.79,2.0,0.68
3.52,2.46,2.55,3.2,2.26,2.55,0.5,2.92,1.87,0.2
1.6,2.84,-0.99,0.78,-1.02,0.79,2.92,3.82,1.24,-0.95
3.15,1.39,2.8,0.51,2.2,2.35,1.13,2.5,2.56,2.9
1.6,2.12,0.22,1.6,3.89,1.99,0.38,-0.84,0.7,2.6
1.6,3.87,1.01,4.25,0.88,2.59,2.82,0.97,4.13,1.78
3.31,2.17,3.44,2.0,1.37,2.8,-0.87,3.06,2.22,-0.88
2.45,1.17,2.63,3.1,1.99,3.9,0.62,0.36,3.0,3.0
1.28,3.0,1.44,1.44,4.3,2.86,3.3,1.5,0.64,2.96
3.4,3.6,3.2,3.0,2.78,1.82,1.53,1.7,1.0,2.01
-0.92,3.34,3.42,2.04,2.0,3.3,1.1,1.86,3.21,0.76
0.61,3.9,2.87,2.44,3.19,1.5,4.06,1.8,3.56,2.75
2.09,2.6,2.2,2.4,2.15,3.0,3.18,2.52,1.38,3.08
2.04,2.84,2.7,-1.36,3.25,0.03,2.2,3.3,2.6,-0.12
1.3,1.81,2.82,1.64,2.95,-0.49,2.68,2.69,3.45,1.8
2.4,2.62,1.09,1.45,2.2,1.59,0.74,3.62,2.8,1.91
2.1,3.31,3.02,1.8,1.39,2.71,3.53,3.2,2.5,2.7
1.03,4.5,2.34,3.34,1.71,0.63,3.18,1.67,1.21,3.98
1.34,3.0,2.19,3.85,2.46,2.4,-0.9,2.3,1.94,2.42
2.82,2.35,4.37,0.2,2.4,1.05,2.86,2.79,2.59,1.3
2.42,3.0,1.95,0.37,1.16,1.0,3.52,3.92,0.87,2.74
2.0,3.2,3.3,3.16,3.0,3.08,0.76,1.1,4.36,4.13
2.16,-0.49,3.42,3.3,2.3,0.2,2.2,-1.01,3.4,1.97
1.32,3.79,1.97,0.63,3.14,-0.42,2.0,2.5,2.06,3.5
2.4,2.01,3.16,2.47,1.6,0.5,1.6,0.03,1.0,2.88
0.45,1.3,-0.44,2.4,1.96,1.81,1.52,2.8,3.2,1.72
0.29,3.7,0.99,1.71,3.2,3.61,2.9,3.1,2.87,2.53
2.72,3.6,2.8,3.5,-0.92,-0.33,3.9,2.65,0.27,0.96
1.13,1.94,2.41,2.34,3.69,0.8,1.23,2.1,3.14,2.68
1.6,2.28,3.18,1.84,3.38,3.58,1.54,2.41,1.6,2.81
2.13,3.01,2.28,2.0,2.57,-0.51,3.8,3.77,1.64,1.95
2.38,2.5,3.3,2.16,2.3,0.2,3.6,1.48,2.34,2.71
3.5,3.0,2.46,-0.8,4.34,-0.06,1.6,0.44,3.61,1.32
2.53,-0.84,2.49,2.67,0.54,1.82,2.3,0.8,4.3,1.52
1.21,3.25,2.1,1.27,2.19,1.1,3.14,2.72,3.34,1.9
3.2,2.23,2.5,3.2,1.49,1.99,1.27,1.09,1.09,1.5
0.47,-0.15,3.53,2.2,2.8,3.28,3.37,3.1,3.56,0.41
-1.4,3.4,2.69,0.74,1.06,1.25,1.9,1.89,2.8,3.13
-0.9,2.32,1.4,2.3,2.67,1.9,2.32,3.54,3.54,0.12
1.33,3.42,3.0,0.7,0.3,1.79,3.6,1.29,2.23,3.47
3.17,1.52,3.05,2.3,0.8,3.21,0.44,2.48,1.89,1.5
4.0,2.86,1.25,2.63,2.5,4.5,3.7,3.2,3.7,4.1
1.6,2.9,3.6,2.8,3.21,3.93,2.9,3.85,4.1,2.9
3.36,1.54,3.2,1.74,2.92,2.65,2.29,1.57,1.0,3.36
2.41,1.9,2.9,2.62,1.59,1.71,0.97,1.9,2.0,2.14
1.79,3.46,3.52,3.37,4.48,3.8,1.92,2.24,0.8,0.81
2.9,3.84,3.7,3.35,3.45,3.2,0.42,3.5,2.27,1.53
1.6,-0.1,2.7,-1.2,2.8,4.2,3.47,2.1,0.74,2.63
2.78,3.34,4.1,2.54,2.39,2.26,2.0,2.89,3.99,2.2
2.15,2.3,2.71,2.81,4.4,2.13,1.72,2.04,1.0,2.9
1.64,1.17,1.77,2.14,1.2,2.85,2.3,3.21,3.2,4.31
2.43,3.2,2.56,-0.5,0.29,0.64,3.4,2.95,1.98,1.81
2.9,3.4,-1.36,1.33,2.35,2.49,2.76,2.49,2.16,1.8
0.26,1.57,1.4,2.62,0.77,-0.5,3.01,0.78,1.29,-1.48
2.26,1.5,1.7,3.25,1.49,3.1,2.18,1.96,2.5,2.01
3.1,2.8,0.2,2.76,1.84,3.11,-0.14,2.5,1.16,2.8
2.93,2.56,3.12,3.37,3.77,2.29,0.4,2.67,1.69,0.05
1.57,3.37,2.69,3.4,-0.98,3.2,2.46,2.18,-1.18,2.45
2.26,2.82,3.75,1.78,3.17,0.94,1.61,2.04,2.13,0.57
3.68,3.17,3.83,3.89,2.36,2.92,0.49,3.17,1.7,1.5
3.9,1.38,1.7,3.0,1.73,1.88,3.2,2.7,3.14,-0.7
2.9,2.71,1.69,2.1,3.0,3.74,4.15,4.19,1.61,3.2
3.14,4.09,2.87,3.5,3.27,2.41,3.49,2.71,2.74,3.1
2.72,1.4,3.68,0.51,3.21,2.2,3.05,1.69,2.6,2.55
2.2,1.15,2.98,3.7,2.22,2.8,1.25,3.91,3.24,2.37
3.8,2.79,2.7,0.15,2.08,3.58,3.28,3.4,3.8,1.85
2.83,3.3,2.61,4.1,2.55,3.6,2.47,3.4,-0.13,3.72
3.1,1.82,3.3,2.78,3.56,3.28,1.49,3.5,2.6,1.72
4.2,2.54,3.1,0.7,0.29,-0.48,0.9,1.15,1.34,2.46
3.75,2.1,2.74,2.99,1.64,3.01,2.83,-0.34,3.7,2.3
2.96,4.03,0.7,2.1,4.1,1.98,0.3,3.49,0.78,1.8
1.81,3.3,2.0,2.9,0.27,2.53,2.32,2.1,1.05,2.68
1.7,2.29,1.91,0.75,3.2,2.25,3.1,1.41,1.4,1.7
3.86,0.42,0.88,2.2,0.02,1.79,2.87,3.68,2.1,3.6
1.91,3.62,0.86,3.2,3.09,2.47,1.02,1.71,0.74,3.7
1.86,3.37,2.39,1.77,2.23,0.64,3.02,2.4,1.3,4.1
-0.95,3.04,2.41,-0.15,1.86,0.59,1.0,3.2,0.35,-0.56
